INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
74059531,74059531,0,0,4,74059531,9483402330,2499,4302,0,1802,74059531,2499,74059531,9483400899,0,1431,0,4,0.000,-3.117,0.000,4.006
74062030,74062030,0,0,4,74062030,9483407044,2499,4714,0,2214,74062030,2499,74062030,9483405059,0,1985,0,4,0.000,-3.122,0.000,4.013
74064529,74064529,0,833,8,74064529,9483411634,2499,4590,0,2090,74064529,2499,74064529,9483410183,0,1451,0,4,0.000,-3.126,0.000,4.018
74067028,74067028,0,0,7,74067028,9483414177,2499,2543,0,43,74067028,2499,74066195,9483413048,833,1129,0,4,0.000,-3.114,0.000,4.002
74070360,74070360,0,0,7,74070360,9483422350,3332,8173,832,5673,74070360,3332,74070360,9483421322,0,1028,0,4,0.000,-3.120,0.000,4.010
74073692,74073692,0,0,6,74073692,9483427261,3332,4911,832,2411,74073692,3332,74072859,9483425271,833,1990,0,4,0.000,-3.126,0.000,4.015
74075358,74075358,0,0,7,74075358,9483431055,1666,3794,0,1294,74075358,1666,74075358,9483430577,0,478,0,4,0.000,-3.131,0.000,4.020
74078690,74078690,0,0,6,74077857,9483436420,2499,5365,0,2865,74078690,3332,74077857,9483434473,0,1947,0,4,0.000,-3.119,0.000,4.004
74080356,74080356,0,833,7,74080356,9483440694,2499,4274,0,1774,74080356,1666,74080356,9483439203,0,1491,0,4,0.000,-3.124,0.000,4.011
74082855,74082855,0,833,6,74082855,9483444761,2499,4067,0,1567,74082855,2499,74082855,9483443285,0,1476,0,4,0.000,-3.128,0.000,4.016
74085354,74085354,0,0,7,74085354,9483447847,2499,3086,0,586,74085354,2499,74084521,9483446373,833,1474,0,4,0.000,-3.130,0.000,4.021
74088686,74088686,0,0,8,74088686,9483456117,3332,8270,832,5770,74088686,3332,74088686,9483454826,0,1291,0,4,0.000,-3.123,0.000,4.012
74091185,74091185,0,833,7,74091185,9483460257,2499,4140,0,1640,74091185,2499,74091185,9483458992,0,1265,0,4,0.000,-3.129,0.000,4.018
74093684,74093684,0,0,7,74093684,9483464839,2499,4582,0,2082,74093684,2499,74093684,9483463330,0,1509,0,4,0.000,-3.134,0.000,4.024
74096183,74096183,0,833,6,74096183,9483469376,2499,4537,0,2037,74096183,2499,74096183,9483467962,0,1414,0,4,0.000,-3.140,0.000,4.031
74098682,74098682,0,0,4,74098682,9483472392,2499,3016,0,516,74098682,2499,74097849,9483470926,833,1466,0,4,0.000,-3.127,0.000,4.014
74102014,74102014,0,0,8,74102014,9483480020,3332,7628,832,5128,74102014,3332,74102014,9483478897,0,1123,0,4,0.000,-3.134,0.000,4.027
74104513,74104513,0,0,7,74104513,9483484588,2499,4568,0,2068,74104513,2499,74104513,9483483613,0,975,0,4,0.000,-3.137,0.000,4.031
74107012,74107012,0,0,13,74107012,9483489175,2499,4587,0,2087,74107012,2499,74107012,9483487678,0,1497,0,4,0.000,-3.143,0.000,4.039
74109511,74109511,0,833,7,74109511,9483493616,2499,4441,0,1941,74109511,2499,74109511,9483492198,0,1418,0,4,0.000,-3.132,0.000,4.025
74112010,74112010,0,0,7,74112010,9483498232,2499,4616,0,2116,74112010,2499,74112010,9483497206,0,1026,0,4,0.000,-3.137,0.000,4.031
74114509,74114509,0,0,6,74114509,9483502734,2499,4502,0,2002,74114509,2499,74114509,9483501780,0,954,0,4,0.000,-3.142,0.000,4.037
74117008,74117008,0,0,7,74117008,9483507173,2499,4439,0,1939,74117008,2499,74117008,9483506091,0,1082,0,4,0.000,-3.147,0.000,4.046
74119507,74119507,0,0,6,74119507,9483510878,2499,3705,0,1205,74119507,2499,74119507,9483509950,0,928,0,4,0.000,-3.136,0.000,4.031
74122006,74122006,0,0,8,74122006,9483515432,2499,4554,0,2054,74122006,2499,74122006,9483514455,0,977,0,4,0.000,-3.142,0.000,4.038
74124505,74124505,0,833,8,74124505,9483520732,2499,5300,0,2800,74124505,2499,74124505,9483519649,0,1083,0,4,0.000,-3.146,0.000,4.042
74127004,74127004,0,0,8,74127004,9483524083,2499,3351,0,851,74127004,2499,74127004,9483523605,0,478,0,4,0.000,-3.152,0.000,4.049
74129503,74129503,0,833,8,74129503,9483530335,2499,6252,0,3752,74129503,2499,74129503,9483528837,0,1498,0,4,0.000,-3.141,0.000,4.036
74132002,74132002,0,0,8,74132002,9483534633,2499,4298,0,1798,74132002,2499,74132002,9483533586,0,1047,0,4,0.000,-3.148,0.000,4.043
74134501,74134501,0,0,13,74134501,9483538516,2499,3883,0,1383,74134501,2499,74134501,9483538051,0,465,0,4,0.000,-3.153,0.000,4.049
74137000,74137000,0,0,9,74137000,9483542168,2499,3652,0,1152,74137000,2499,74137000,9483541553,0,615,0,4,0.000,-3.159,0.000,4.057
74139499,74139499,0,0,9,74139499,9483546186,2499,4018,0,1518,74139499,2499,74139499,9483545438,0,748,0,4,0.000,-3.150,0.000,4.045
74141998,74141998,0,0,7,74141998,9483549522,2499,3336,0,836,74141998,2499,74141998,9483549319,0,203,0,4,0.000,-3.155,0.000,4.050
74144497,74144497,0,0,7,74144497,9483554159,2499,4637,0,2137,74144497,2499,74144497,9483553238,0,921,0,4,0.000,-3.161,0.000,4.058
74146996,74146996,0,0,7,74146996,9483557995,2499,3836,0,1336,74146996,2499,74146996,9483556810,0,1185,0,4,0.000,-3.166,0.000,4.064
74149495,74149495,0,833,8,74149495,9483561722,2499,3727,0,1227,74149495,2499,74149495,9483560702,0,1020,0,4,0.000,-3.144,0.000,4.038
74151994,74151994,0,0,6,74151994,9483565152,2499,3430,0,930,74151994,2499,74151994,9483564072,0,1080,0,4,0.000,-3.148,0.000,4.043
74154493,74154493,0,0,9,74154493,9483567693,2499,2541,0,41,74154493,2499,74153660,9483566364,833,1329,0,4,0.000,-3.152,0.000,4.048
74157825,74157825,0,0,8,74157825,9483573910,3332,6217,832,3717,74157825,3332,74157825,9483573511,0,399,0,4,0.000,-3.157,0.000,4.057
74160324,74160324,0,0,6,74160324,9483578847,2499,4937,0,2437,74160324,2499,74160324,9483577849,0,998,0,4,0.000,-3.136,0.000,4.031
74162823,74162823,0,0,8,74162823,9483582641,2499,3794,0,1294,74162823,2499,74162823,9483582523,0,118,0,4,0.000,-3.139,0.000,4.036
74165322,74165322,0,0,8,74165322,9483587746,2499,5105,0,2605,74165322,2499,74165322,9483586260,0,1486,0,4,0.000,-3.145,0.000,4.044
74167821,74167821,0,833,9,74167821,9483591591,2499,3845,0,1345,74167821,2499,74167821,9483590140,0,1451,0,4,0.000,-3.150,0.000,4.048
74170320,74170320,0,833,5,74170320,9483596126,2499,4535,0,2035,74170320,2499,74170320,9483594640,0,1486,0,4,0.000,-3.133,0.000,4.024
74172819,74172819,0,833,7,74172819,9483600632,2499,4506,0,2006,74172819,2499,74172819,9483599216,0,1416,0,4,0.000,-3.136,0.000,4.028
74175318,74175318,0,0,5,74175318,9483603758,2499,3126,0,626,74175318,2499,74174485,9483602175,833,1583,0,4,0.000,-3.140,0.000,4.035
74178650,74178650,0,0,8,74178650,9483611619,3332,7861,832,5361,74178650,3332,74178650,9483610163,0,1456,0,4,0.000,-3.146,0.000,4.045
74181149,74181149,0,833,9,74181149,9483616490,2499,4871,0,2371,74181149,2499,74181149,9483614561,0,1929,0,4,0.000,-3.128,0.000,4.022
74183648,74183648,0,0,8,74183648,9483620284,2499,3794,0,1294,74183648,2499,74183648,9483619818,0,466,0,4,0.000,-3.130,0.000,4.027
74186147,74186147,0,0,9,74186147,9483625078,2499,4794,0,2294,74186147,2499,74186147,9483624436,0,642,0,4,0.000,-3.136,0.000,4.036
74188646,74188646,0,0,9,74188646,9483630327,2499,5249,0,2749,74188646,2499,74188646,9483629333,0,994,0,4,0.000,-3.139,0.000,4.040
74191145,74191145,0,0,3,74191145,9483634468,2499,4141,0,1641,74191145,2499,74191145,9483633986,0,482,0,4,0.000,-3.120,0.000,4.020
74193644,74193644,0,0,8,74193644,9483637844,2499,3376,0,876,74193644,2499,74193644,9483637841,0,3,0,4,0.000,-3.123,0.000,4.025
74196143,74196143,0,0,10,74196143,9483642790,2499,4946,0,2446,74196143,2499,74196143,9483641912,0,878,0,4,0.000,-3.127,0.000,4.032
74198642,74198642,0,0,8,74198642,9483647375,2499,4585,0,2085,74198642,2499,74198642,9483646434,0,941,0,4,0.000,-3.132,0.000,4.038
74201141,74201141,0,0,5,74201141,9483651935,2499,4560,0,2060,74201141,2499,74201141,9483650957,0,978,0,4,0.000,-3.114,0.000,4.016
74204473,74204473,0,0,7,74204473,9483657634,3332,5699,832,3199,74204473,3332,74204473,9483657612,0,22,0,4,0.000,-3.120,0.000,4.023
74206139,74206139,0,0,9,74206139,9483661597,1666,3963,0,1463,74206139,1666,74206139,9483660519,0,1078,0,4,0.000,-3.123,0.000,4.027
74208638,74208638,0,0,6,74208638,9483664633,2499,3036,0,536,74208638,2499,74207805,9483663218,833,1415,0,4,0.000,-3.128,0.000,4.032
74211137,74211137,0,833,8,74211137,9483670363,2499,5730,0,3230,74211137,2499,74211137,9483668940,0,1423,0,4,0.000,-3.111,0.000,4.012
74213636,74213636,0,0,4,74213636,9483673378,2499,3015,0,515,74213636,2499,74212803,9483671908,833,1470,0,4,0.000,-3.115,0.000,4.016
74216968,74216968,0,0,7,74216968,9483679893,3332,6515,832,4015,74216968,3332,74216968,9483679141,0,752,0,4,0.000,-3.121,0.000,4.025
74219467,74219467,0,0,7,74219467,9483684074,2499,4181,0,1681,74219467,2499,74219467,9483683516,0,558,0,4,0.000,-3.127,0.000,4.033
74221966,74221966,0,0,5,74221966,9483687692,2499,3618,0,1118,74221966,2499,74221966,9483687683,0,9,0,4,0.000,-3.111,0.000,4.013
74224465,74224465,0,833,7,74224465,9483693591,2499,5899,0,3399,74224465,2499,74224465,9483692182,0,1409,0,4,0.000,-3.117,0.000,4.020
74226964,74226964,0,0,6,74226964,9483697156,2499,3565,0,1065,74226964,2499,74226131,9483695134,833,2022,0,4,0.000,-3.121,0.000,4.024
74230296,74230296,0,833,8,74230296,9483704871,3332,7715,832,5215,74230296,3332,74230296,9483703421,0,1450,0,4,0.000,-3.126,0.000,4.033
74232795,74232795,0,0,7,74232795,9483708993,2499,4122,0,1622,74232795,2499,74232795,9483708037,0,956,0,4,0.000,-3.111,0.000,4.012
74235294,74235294,0,0,8,74235294,9483713035,2499,4042,0,1542,74235294,2499,74235294,9483712568,0,467,0,4,0.000,-3.117,0.000,4.017
74237793,74237793,0,833,7,74237793,9483719182,2499,6147,0,3647,74237793,2499,74237793,9483717712,0,1470,0,4,0.000,-3.120,0.000,4.020
74240292,74240292,0,0,7,74240292,9483723755,2499,4573,0,2073,74240292,2499,74240292,9483722271,0,1484,0,4,0.000,-3.125,0.000,4.026
74242791,74242791,0,0,6,74242791,9483727839,2499,4084,0,1584,74242791,2499,74242791,9483727391,0,448,0,4,0.000,-3.110,0.000,4.008
74245290,74245290,0,0,8,74245290,9483733121,2499,5282,0,2782,74245290,2499,74245290,9483731970,0,1151,0,4,0.000,-3.117,0.000,4.014
74247789,74247789,0,833,7,74247789,9483737729,2499,4608,0,2108,74247789,2499,74247789,9483736208,0,1521,0,4,0.000,-3.119,0.000,4.019
74250288,74250288,0,0,6,74250288,9483741915,2499,4186,0,1686,74250288,2499,74250288,9483740464,0,1451,0,4,0.000,-3.126,0.000,4.026
74252787,74252787,0,833,8,74252787,9483746418,2499,4503,0,2003,74252787,2499,74252787,9483745065,0,1353,0,4,0.000,-3.112,0.000,4.008
74255286,74255286,0,0,6,74255286,9483750879,2499,4461,0,1961,74255286,2499,74255286,9483749428,0,1451,0,4,0.000,-3.117,0.000,4.015
74257785,74257785,0,0,4,74257785,9483754817,2499,3938,0,1438,74257785,2499,74257785,9483753964,0,853,0,4,0.000,-3.122,0.000,4.021
74260284,74260284,0,833,7,74260284,9483759419,2499,4602,0,2102,74260284,2499,74260284,9483758303,0,1116,0,4,0.000,-3.128,0.000,4.030
74262783,74262783,0,833,8,74262783,9483763974,2499,4555,0,2055,74262783,2499,74262783,9483762475,0,1499,0,4,0.000,-3.116,0.000,4.012
74265282,74265282,0,0,8,74265282,9483768336,2499,4362,0,1862,74265282,2499,74265282,9483767292,0,1044,0,4,0.000,-3.123,0.000,4.020
74267781,74267781,0,0,6,74267781,9483772410,2499,4074,0,1574,74267781,2499,74267781,9483771951,0,459,0,4,0.000,-3.125,0.000,4.025
74270280,74270280,0,0,5,74270280,9483776498,2499,4088,0,1588,74270280,2499,74269447,9483775000,833,1498,0,4,0.000,-3.131,0.000,4.033
74272779,74272779,0,0,7,74272779,9483782159,2499,5661,0,3161,74272779,2499,74272779,9483781244,0,915,0,4,0.000,-3.118,0.000,4.015
74275278,74275278,0,0,7,74275278,9483787297,2499,5138,0,2638,74275278,2499,74275278,9483786290,0,1007,0,4,0.000,-3.124,0.000,4.022
74277777,74277777,0,0,7,74277777,9483789849,2499,2552,0,52,74277777,2499,74277777,9483789671,0,178,0,4,0.000,-3.129,0.000,4.028
74281109,74281109,0,833,6,74281109,9483796468,3332,6619,832,4119,74281109,3332,74281109,9483794966,0,1502,0,4,0.000,-3.134,0.000,4.039
74283608,74283608,0,0,7,74283608,9483800023,2499,3555,0,1055,74283608,2499,74283608,9483799104,0,919,0,4,0.000,-3.121,0.000,4.022
74286107,74286107,0,833,6,74286107,9483804588,2499,4565,0,2065,74286107,2499,74286107,9483803126,0,1462,0,4,0.000,-3.125,0.000,4.028
74288606,74288606,0,0,7,74288606,9483808276,2499,3688,0,1188,74288606,2499,74288606,9483807294,0,982,0,4,0.000,-3.128,0.000,4.034
