INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
94148159,94148159,0,0,59,94148159,7558371016,2499,187,0,0,94148159,2499,0,0,0,0,3,5721,100.763,74.878,287.351,357.030
94150658,94150658,0,0,12,94150658,7558371319,2499,303,0,0,94150658,2499,0,0,0,0,3,5721,100.942,74.939,287.067,356.765
94153157,94153157,0,0,7,94153157,7558371514,2499,195,0,0,94153157,2499,0,0,0,0,3,5721,101.109,75.042,286.662,356.369
94155656,94155656,0,0,6,94155656,7558371657,2499,143,0,0,94155656,2499,0,0,0,0,3,5720,101.286,75.142,286.346,356.199
94158155,94158155,0,0,5,94158155,7558371850,2499,193,0,0,94158155,2499,0,0,0,0,3,5720,101.453,75.288,285.940,355.827
94160654,94160654,0,0,5,94160654,7558371991,2499,141,0,0,94160654,2499,0,0,0,0,3,5720,101.634,75.383,285.656,355.556
94163986,94163986,0,0,12,94163986,7558404193,3332,32202,832,29702,94163986,3332,0,0,0,0,3,5720,101.802,75.559,285.250,355.165
94166485,94166485,0,0,3,94166485,7558404349,2499,156,0,0,94166485,2499,0,0,0,0,3,5720,101.966,75.747,284.812,354.807
94168984,94168984,0,0,3,94168984,7558404463,2499,114,0,0,94168984,2499,0,0,0,0,3,5719,102.148,75.853,284.526,354.575
94171483,94171483,0,0,4,94171483,7558404580,2499,117,0,0,94171483,2499,0,0,0,0,3,5719,102.316,75.985,284.120,354.207
94173982,94173982,0,0,4,94173982,7558404669,2499,89,0,0,94173982,2499,0,0,0,0,3,5719,102.498,76.114,283.834,353.948
94176481,94176481,0,0,3,94176481,7558404766,2499,97,0,0,94176481,2499,0,0,0,0,3,5719,102.664,76.339,283.396,353.618
94178980,94178980,0,0,3,94178980,7558404862,2499,96,0,0,94178980,2499,0,0,0,0,3,5719,102.846,76.439,283.111,353.344
94181479,94181479,0,0,4,94181479,7558404967,2499,105,0,0,94181479,2499,0,0,0,0,3,5718,103.015,76.593,282.703,353.009
94183978,94183978,0,0,3,94183978,7558405055,2499,88,0,0,94183978,2499,0,0,0,0,3,5718,103.198,76.715,282.417,352.750
94186477,94186477,0,0,4,94186477,7558405152,2499,97,0,0,94186477,2499,0,0,0,0,3,5718,103.365,76.859,281.979,352.397
94188976,94188976,0,0,3,94188976,7558405247,2499,95,0,0,94188976,2499,0,0,0,0,3,5718,103.549,76.976,281.692,352.141
94191475,94191475,0,0,4,94191475,7558405355,2499,108,0,0,94191475,2499,0,0,0,0,3,5718,103.719,77.072,281.283,351.800
94193974,94193974,0,0,3,94193974,7558405443,2499,88,0,0,94193974,2499,0,0,0,0,3,5717,103.903,77.144,280.996,351.558
94196473,94196473,0,0,12,94196473,7558437502,2499,32059,0,29559,94196473,2499,0,0,0,0,3,5717,104.071,77.245,280.558,351.200
94198972,94198972,0,0,4,94198972,7558437668,2499,166,0,0,94198972,2499,0,0,0,0,3,5717,104.255,77.375,280.270,350.982
94201471,94201471,0,0,3,94201471,7558437779,2499,111,0,0,94201471,2499,0,0,0,0,3,5717,104.426,77.500,279.861,350.565
